@RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,score,simulacao
7,EMEP1403BN,8,1,BN,43,41,51,51,61,57,84,84,104,2630,137,-99,57,1215,0.1804,0.21,4.64,4.94,177,3092,70,-99,0.02,6.14,0.585,-99,75.53,72.3,4,-99,5,-99,1,-99,3.56,-99,95,2069,4,-99,14.27,-99,2.69,-99,1.31,-99,93,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
8,EMEP1403BN,9,1,BN,46,47,54,56,65,65,88,86,95,2080,133,3807,61,1151,0.155,0.17,4.64,4.63,183,3027,90,-99,0.02,4.59,0.519,0.69,71.48,71.8,3,-99,5,-99,1,-99,3.64,-99,105,2002,4,-99,14,-99,2.83,-99,1.14,-99,97,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
1,EMEP1403BN,1,1,BN,44,35,52,42,62,56,86,72,70,1605,91,2313,38,1090,0.1817,0.15,4.64,5.49,122,3202,50,-99,0.01,4.18,0.571,0.5,77.19,70.4,3,-99,3,-99,0,-99,3.58,-99,71,1409,3,-99,14.33,-99,2.8,-99,1.22,-99,95,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
2,EMEP1403BN,2,1,BN,46,42,54,48,65,62,87,82,74,1997,98,2923,45,1258,0.1661,0.17,4.64,5.52,135,3204,60,-99,0.01,6.26,0.549,0.62,75.79,72.7,3,-99,4,-99,0,-99,3.65,-99,76,1349,3,-99,14.03,-99,2.93,-99,1.14,-99,96,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
3,EMEP1403BN,3,1,BN,48,49,56,55,65,68,86,90,78,2803,109,3069,56,1501,0.1384,0.19,4.64,4.52,148,4319,70,-99,0.02,6.34,0.526,0.65,71.91,74.4,3,-99,4,-99,1,-99,3.76,-99,89,1224,3,-99,14.15,-99,2.85,-99,1.15,-99,95,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
4,EMEP1403BN,4,1,BN,48,50,56,54,65,64,85,82,64,4004,91,3178,48,1062,0.1327,0.23,4.64,5.31,134,5302,70,-99,0.01,4.92,0.478,-99,70.4,78.2,2,-99,4,-99,1,-99,3.88,-99,85,2161,3,-99,14.25,-99,2.73,-99,1.19,-99,94,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
5,EMEP1403BN,5,1,BN,43,51,51,54,60,68,81,90,70,3993,91,5140,42,1964,0.1668,0.19,4.64,4.96,121,5002,50,-99,0.01,5.67,0.573,-99,76.19,77.6,2,-99,3,-99,0,-99,3.59,-99,63,2306,2,-99,14.26,-99,3.12,-99,1.23,-99,90,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
6,EMEP1403BN,6,1,BN,45,55,52,67,61,74,82,91,68,4340,94,5358,50,3157,0.134,0.19,4.64,4.95,133,4261,70,-99,0.01,5,0.508,-99,72.06,74.9,3,-99,4,-99,1,-99,3.78,-99,80,1849,3,-99,14.31,-99,2.8,-99,1.23,-99,91,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
7,EMEP1403BN,8,1,BN,43,41,50,51,59,57,85,84,108,2630,140,-99,56,1215,0.1938,0.21,4.64,4.94,179,3092,70,-99,0.02,6.14,0.603,-99,77.19,72.3,4,-99,5,-99,0,-99,3.57,-99,95,2069,4,-99,14,-99,2.7,-99,1.28,-99,94,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
8,EMEP1403BN,9,1,BN,45,47,53,56,64,65,89,86,106,2080,141,3807,58,1151,0.1836,0.17,4.64,4.63,188,3027,80,-99,0.02,4.59,0.567,0.69,75.72,71.8,4,-99,5,-99,1,-99,3.64,-99,102,2002,4,-99,13.78,-99,2.82,-99,1.13,-99,98,-99,4,-99,-99,iteration_231053.614,86.2825737809253,MAPE_50_500
